"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4510","test_invalid_login","tests.ui","2026-06-12","passed","2026-06-12","","test_login_ui","",""
"","992","test_update_note","tests.api","2026-06-12","passed","2026-06-12","","test_update_note_api","",""
"","987","test_delete_note","tests.api","2026-06-12","passed","2026-06-12","","test_delete_note_api","",""
"","518","test_create_note","tests.api","2026-06-12","passed","2026-06-12","","test_create_note_api","",""
"","10545","test_api_to_ui","tests.integration","2026-06-12","passed","2026-06-12","","test_02_api_to_ui","",""
"","331","test_get_note_invalid_token","tests.api","2026-06-12","passed","2026-06-12","","test_get_note","",""
"","367","test_get_all_notes","tests.api","2026-06-12","passed","2026-06-12","","test_get_note","",""
"","565","test_get_all_notes_performance","tests.api","2026-06-12","passed","2026-06-12","","test_get_note","",""
"","377","test_update_note_invalid_id","tests.api","2026-06-12","passed","2026-06-12","","test_update_note_api","",""
"","13952","test_edit_note_invalid_title","tests.ui","2026-06-12","passed","2026-06-12","","test_edit_note_ui","",""
"","348","test_delete_note_invalid_id","tests.api","2026-06-12","passed","2026-06-12","","test_delete_note_api","",""
"","18518","test_edit_note","tests.ui","2026-06-12","passed","2026-06-12","","test_edit_note_ui","",""
"","25314","test_delete_note","tests.ui","2026-06-12","passed","2026-06-12","","test_delete_note_ui","",""
"","342","test_create_note_invalid_data","tests.api","2026-06-12","passed","2026-06-12","","test_create_note_api","",""
"","7342","test_ui_to_api","tests.integration","2026-06-12","passed","2026-06-12","","test_01_ui_to_api","",""
"","5603","test_invalid_note","tests.ui","2026-06-12","passed","2026-06-12","","test_create_note_ui","",""
"","3380","test_valid_login","tests.ui","2026-06-12","passed","2026-06-12","","test_login_ui","",""
"","9271","test_valid_note","tests.ui","2026-06-12","passed","2026-06-12","","test_create_note_ui","",""
